ResponseID,Date,1. تعتبر الصادرات من أهم ركائز الاقتصاد القومي.,2. الصادرات تساهم بشكل كبير في توفير العملات الأجنبية للدولة.,3. الصادرات الصناعية تسهم في تحسين جودة المنتجات الوطنية.,4. تؤدي الصادرات الصناعية إلى زيادة فرص العمل ودعم القوى العاملة المحلية.,5. الصادرات الخدمية، مثل السياحة وتكنولوجيا المعلومات، تساهم في تعزيز سمعة الدولة عالميًا.,6. الدول التي تعتمد على تنوع في الصادرات تكون أقل عرضة لتقلبات الاقتصاد العالمي.,7. الذكاء الاصطناعي سيحدث تغييرات جذرية في قطاعات متعددة، منها القطاع الصناعي.,8. الذكاء الاصطناعي سيساهم في تطوير تقنيات الإنتاج، مما يؤدي إلى تحسين جودة المنتجات.,9. الذكاء الاصطناعي يوفر إمكانيات كبيرة للتنبؤ بالاتجاهات السوقية ودراسة احتياجات العملاء.,10. استخدام الذكاء الاصطناعي في الصادرات قد يساعد في تقليل المخاطر المالية.,11. الذكاء الاصطناعي قد يزيد من التفاوت الاجتماعي بسبب التأثير على بعض المهن التقليدية.,12. الذكاء الاصطناعي يجب أن يُستثمر لتطوير موارد بشرية قادرة على التكيف مع التكنولوجيا.,13. الذكاء الاصطناعي يمكن أن يسهم في تحسين عمليات الإنتاج وتحقيق مخرجات عالية الجودة.,14. الذكاء الاصطناعي يسهم في تعزيز القدرة التنافسية للمنتجات المحلية في الأسواق العالمية.,15. استخدام الذكاء الاصطناعي في التسويق الدولي يساعد في زيادة الطلب على المنتجات الوطنية.,16. الذكاء الاصطناعي يسهم في دعم اللوجستيات وسلاسل التوريد لتسريع عمليات التصدير.,17. تطبيق الذكاء الاصطناعي في الصادرات الخدمية، مثل التجارة الإلكترونية، يوفر فرصًا جديدة للتوسع.,18. التحول الرقمي يسهم في توفير بيانات أفضل لمساعدة الشركات على التوسع عالميًا.,19. تواجه الشركات التصديرية تحديات في التكيف مع التكنولوجيات الحديثة وسرعة التغيير.,20. ضعف البنية التحتية الرقمية قد يحد من قدرة الشركات على المنافسة في الأسواق العالمية.,21. التحول الرقمي يوفر للشركات فرصة للابتكار وزيادة كفاءة التصدير.,22. هناك حاجة إلى تحسين سياسات حماية البيانات لدعم الصادرات في ظل التحول الرقمي.
11,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
12,2024-11-07,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,محايد,أوافق,أوافق,محايد,محايد,أوافق
13,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة
14,2024-11-07,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق بشدة
15,2024-11-07,محايد,محايد,ارفض,محايد,محايد,ارفض,محايد,ارفض,ارفض,ارفض,ارفض,ارفض,أوافق,أوافق,محايد,محايد,أوافق بشدة,ارفض,محايد,أوافق,أوافق,ارفض
16,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
17,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,محايد,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق
18,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,محايد,أوافق,أوافق,أوافق,محايد,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة
19,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,ارفض,محايد,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق بشدة
20,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
21,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة
22,2024-11-07,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق,أوافق بشدة,أوافق,محايد,محايد,أوافق,أوافق,محايد,أوافق بشدة,أوافق,أوافق بشدة
23,2024-11-07,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق,محايد,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق
24,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
25,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
26,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
27,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
28,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
29,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
30,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,محايد,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
31,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
32,2024-11-08,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق
33,2024-11-08,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة
34,2024-11-08,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,محايد,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق بشدة
35,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة
36,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,ارفض,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق بشدة,محايد,أوافق,محايد,أوافق,أوافق بشدة
37,2024-11-08,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق
38,2024-11-08,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
39,2024-11-08,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق بشدة,ارفض,أوافق بشدة,أوافق بشدة,أوافق بشدة
40,2024-11-09,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة,ارفض بشدة
41,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
42,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
43,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
44,2024-11-09,محايد,أوافق,أوافق,أوافق,أوافق,ارفض,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة
45,2024-11-09,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق,أوافق,محايد,ارفض,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق بشدة,محايد,ارفض,أوافق بشدة
46,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,محايد,ارفض,أوافق,أوافق,أوافق,أوافق,محايد,ارفض,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة
47,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,محايد,أوافق,أوافق بشدة,محايد,أوافق بشدة,محايد,أوافق بشدة
48,2024-11-09,أوافق,محايد,محايد,ارفض,أوافق بشدة,أوافق,محايد,أوافق,محايد,محايد,أوافق بشدة,أوافق,أوافق,محايد,محايد,محايد,أوافق,أوافق بشدة,ارفض,أوافق,أوافق,أوافق بشدة
49,2024-11-09,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,محايد,محايد,أوافق بشدة,محايد,محايد,أوافق بشدة,محايد,محايد,أوافق,أوافق,أوافق,أوافق بشدة,محايد,أوافق بشدة
50,2024-11-09,أوافق,محايد,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق,أوافق,محايد,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة
51,2024-11-09,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق
52,2024-11-09,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق,ارفض,أوافق,أوافق,محايد,ارفض بشدة,ارفض,محايد,أوافق,محايد,أوافق,ارفض,أوافق,أوافق,محايد,أوافق,أوافق بشدة
53,2024-11-11,أوافق,أوافق بشدة,أوافق,محايد,ارفض,أوافق,أوافق,أوافق بشدة,محايد,أوافق بشدة,ارفض,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق بشدة,محايد,أوافق
54,2024-11-11,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,محايد,أوافق,أوافق بشدة
55,2024-11-11,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,ارفض,أوافق بشدة,أوافق,أوافق,محايد,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,أوافق بشدة
56,2024-11-11,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق
57,2024-11-11,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,محايد,محايد,محايد,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,محايد,أوافق,أوافق
58,2024-11-11,أوافق بشدة,أوافق,محايد,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,محايد,محايد,محايد,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق
59,2024-11-11,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,ارفض,أوافق,أوافق بشدة,أوافق
60,2024-11-11,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,محايد,محايد,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,محايد,أوافق,ارفض,محايد,محايد
61,2024-11-11,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
62,2024-11-11,أوافق بشدة,ارفض بشدة,ارفض بشدة,ارفض,أوافق بشدة,ارفض بشدة,أوافق بشدة,أوافق بشدة,ارفض,ارفض,أوافق بشدة,أوافق بشدة,أوافق بشدة,ارفض بشدة,أوافق بشدة,ارفض,ارفض,أوافق بشدة,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة
63,2024-11-11,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد
64,2024-11-11,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة
65,2024-11-13,أوافق,أوافق,أوافق,أوافق,أوافق,محايد,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,محايد,أوافق بشدة
66,2024-11-13,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,محايد
67,2024-11-15,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق,أوافق
68,2024-11-15,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,أوافق
69,2024-11-15,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق
70,2024-11-15,أوافق بشدة,محايد,أوافق بشدة,أوافق,أوافق بشدة,ارفض بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق,أوافق بشدة,محايد,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق
71,2024-11-15,أوافق بشدة,محايد,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,محايد,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,أوافق بشدة,أوافق بشدة,أوافق,أوافق بشدة,أوافق بشدة,محايد,أوافق بشدة,أوافق بشدة
72,2024-11-15,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة,أوافق,أوافق بشدة,أوافق,أوافق,أوافق,أوافق بشدة,محايد,أوافق,أوافق بشدة,أوافق,أوافق,أوافق بشدة
